feature,gain
tkeo_env_mean,94.73541259765625
stft_centroid_zcr_per_s,90.06878662109375
spec_rolloff95_Hz,79.41551971435547
nb_peak_salience,75.13754272460938
spec_peak_power,73.8384780883789
spec_gini,65.87610626220703
ZCR_Q,49.45084762573242
stft_centroid_std_Hz,45.76603698730469
env_mod_index,19.980571746826172
spec_flatness,18.45172882080078
oob_ratio,14.64235782623291
strong_bins_mean,14.215840339660645
spec_entropy,13.914992332458496
mag_std,13.324529647827148
cumulant_c42_mag,12.729472160339355
nb_peak_count,11.916337013244629
stft_centroid_absderiv_med_Hzps,11.627028465270996
mag_mean,9.308991432189941
pre_rms,7.6479668617248535
instf_kurtosis,7.231573104858398
bandpower_7,7.164323329925537
psd_power,6.543572425842285
bandpower_5,5.140564441680908
spec_spread_Hz,4.952033996582031
bandpower_3,3.9822399616241455
spec_kurtosis_mean,3.960124969482422
nb_spacing_med_Hz,3.833951234817505
stdQ,3.7895922660827637
bandpower_4,3.603421211242676
spec_symmetry_index,3.184462070465088
instf_slope_Hzps,2.9543161392211914
ZCR_I,2.8664450645446777
env_gini,2.6187829971313477
chirp_curvature_Hzps2,2.1535866260528564
env_ac_peak,2.08815860748291
chirp_slope_Hzps,2.085423707962036
instf_std_Hz,2.0704338550567627
spec_peakiness_ratio,1.8369969129562378
dc_notch_ratio,1.526363730430603
instf_dZCR_per_s,1.5045223236083984
dme_ipi_std_s,1.4986456632614136
PAPR_dB,1.2125087976455688
meanI,1.2075618505477905
spec_peak_freq_Hz,1.1397168636322021
meanQ,1.1030892133712769
bandpower_2,1.0754812955856323
kurtQ,1.0433326959609985
crest_env,1.0345125198364258
kurt_env,1.0124155282974243
stdI,1.0006804466247559
circularity_mag,0.9870020151138306
bandpower_0,0.8177370429039001
fh_hop_rate_per_s,0.7960747480392456
kurtI,0.7148110866546631
instf_mean_Hz,0.6655848622322083
bandpower_1,0.6651920080184937
spec_centroid_Hz,0.6650933623313904
cyclo_chip_corr,0.6028112769126892
env_p95_over_p50,0.5915552973747253
dme_pulse_count,0.5784148573875427
spec_kurtosis_max,0.5204309225082397
bandpower_6,0.5092506408691406
nb_spacing_std_Hz,0.5079604387283325
cyclo_2chip_corr,0.4681989550590515
skewQ,0.4563208818435669
circularity_phase_rad,0.43232646584510803
env_ac_lag_s,0.40750652551651
corrIQ,0.3918018937110901
cyclo_halfchip_corr,0.3829196095466614
cumulant_c40_mag,0.36567866802215576
skewI,0.33780381083488464
chirp_r2,0.3131503462791443
dme_duty,0.29630905389785767
cyclo_5chip_corr,0.29251161217689514
dme_ipi_med_s,0.23898251354694366
