feature,MI,nMI,nMI_source,H_Y_nats,eval_split,perm_macroF1_drop_mean,perm_macroF1_drop_std,perm_macroF1_baseline,rank_nMI,rank_perm_macroF1_drop,nMI_norm,perm_norm,nMI_plus_perm_norm,group_id,group_name
stft_centroid_std_Hz,0.4241138476347688,0.5082644219718029,trainval,0.8344354420666049,test,0.04822977403955,0.0042509787497787,0.970556108470872,25,1,0.7258325914824564,0.999999999979266,1.7258325914617223,10,STFT-based Time–Frequency Dynamics (5)
spec_entropy,0.5843135905043113,0.7002502063636832,trainval,0.8344354420666049,test,0.0008274316584228,0.0007204322669682,0.970556108470872,1,14,0.999999999998572,0.0171560343145546,1.0171560343131263,1,Basic Time-Domain & Power Features (18)
spec_flatness,0.5688098519882239,0.6816702926465835,trainval,0.8344354420666049,test,0.0009144056279784,0.0009139559116496,0.970556108470872,2,12,0.9734667500998588,0.0189593595692497,0.9924261096691084,2,Global Spectral Shape Features (6)
bandpower_6,0.5332804116127812,0.6390912762430512,trainval,0.8344354420666049,test,0.0037870751043312,0.0018292523415335,0.970556108470872,5,3,0.9126613179607104,0.0785215187022679,0.9911828366629782,3,Band Power Distribution (8)
spec_gini,0.5552616506614643,0.6654339241466964,trainval,0.8344354420666049,test,0.0002413821363985,0.000778035178938,0.970556108470872,3,33,0.9502802256942788,0.0050048365599965,0.9552850622542752,9,"Inequality, Symmetry, DC Notch & Peakiness (6)"
spec_spread_Hz,0.5320964674907831,0.6376724197775757,trainval,0.8344354420666049,test,0.0005595548806888,0.0005351629863975,0.970556108470872,6,19,0.9106351043979306,0.0116018557378771,0.9222369601358076,2,Global Spectral Shape Features (6)
nb_peak_salience,0.5309653336834133,0.6363168519884507,trainval,0.8344354420666049,test,0.0005798271909129,0.0012425209035482,0.970556108470872,7,18,0.908699270924689,0.0120221834426486,0.9207214543673377,5,"Envelope, Cepstrum, Pulse & Narrowband Salience (4)"
bandpower_5,0.5040710424155197,0.604086328316918,trainval,0.8344354420666049,test,0.0025220043038854,0.0009609937639967,0.970556108470872,12,5,0.862672117517829,0.0522914393454357,0.9149635568632648,3,Band Power Distribution (8)
spec_peakiness_ratio,0.5251050067705494,0.6292937479621525,trainval,0.8344354420666049,test,0.0004217078799219,0.0006398738199921,0.970556108470872,8,21,0.8986698500655961,0.0087437249771774,0.9074135750427736,9,"Inequality, Symmetry, DC Notch & Peakiness (6)"
nb_peak_count,0.54084871036074,0.6481612394378249,trainval,0.8344354420666049,test,-0.0010126118315609,0.0009406396473885,0.970556108470872,4,75,0.9256137785417076,-0.0209955748643898,0.9046182036773176,6,"Narrowband Peaks, AM & Chirp Features (8)"
instf_kurtosis,0.5164595058067636,0.6189328494097446,trainval,0.8344354420666049,test,0.0003485239839105,0.0005606115585517,0.970556108470872,9,27,0.883873855065186,0.0072263242124564,0.8911001792776425,4,Instantaneous Frequency Features (5)
spec_peak_power,0.4971097714630235,0.5957438363737958,trainval,0.8344354420666049,test,0.0016483160762344,0.0020467444386991,0.970556108470872,13,8,0.8507585302495984,0.0341763176175906,0.884934847867189,2,Global Spectral Shape Features (6)
env_ac_peak,0.5135368235014988,0.6154302629208169,trainval,0.8344354420666049,test,0.0001166470693241,0.0007227386136902,0.970556108470872,10,40,0.8788719479509973,0.0024185696832423,0.8812905176342397,1,Basic Time-Domain & Power Features (18)
instf_std_Hz,0.5109524669134966,0.612333131066492,trainval,0.8344354420666049,test,-0.0004145881739155,0.0004326360268383,0.970556108470872,11,69,0.874449054781992,-0.0085961044222805,0.8658529503597114,4,Instantaneous Frequency Features (5)
spec_symmetry_index,0.4955474975791309,0.5938715838241878,trainval,0.8344354420666049,test,-3.194677496317633e-05,0.0010129395553542,0.970556108470872,14,53,0.8480848394279595,-0.0006623869922408,0.8474224524357187,9,"Inequality, Symmetry, DC Notch & Peakiness (6)"
bandpower_4,0.4627185839386774,0.5545289193286004,trainval,0.8344354420666049,test,0.00249830022771,0.0012319317720142,0.970556108470872,19,6,0.7919011151848306,0.0517999571304149,0.8437010723152456,3,Band Power Distribution (8)
bandpower_7,0.4900499620234915,0.5872832544238642,trainval,0.8344354420666049,test,0.0001651339437006,0.0014935609491878,0.970556108470872,15,38,0.8386763032498317,0.0034239004222128,0.8421002036720445,3,Band Power Distribution (8)
tkeo_env_mean,0.4867131844592658,0.583284409940507,trainval,0.8344354420666049,test,3.747688626043466e-06,0.0012500715833625,0.970556108470872,16,43,0.8329657094549122,7.770487630509174e-05,0.8330434143312173,7,"Cyclostationarity, Cumulants, Spectral Kurtosis, TKEO (7)"
bandpower_0,0.4851005799633663,0.5813518404275132,trainval,0.8344354420666049,test,7.724416727019622e-05,0.0010881994189042,0.970556108470872,17,41,0.8302058823310808,0.0016015867543822,0.8318074690854631,3,Band Power Distribution (8)
bandpower_2,0.4624901392678555,0.5542551477948122,trainval,0.8344354420666049,test,0.0014331683895753,0.0008079946737939,0.970556108470872,20,9,0.7915101527384082,0.0297154282408705,0.8212255809792788,3,Band Power Distribution (8)
bandpower_1,0.4835034995722409,0.5794378752354667,trainval,0.8344354420666049,test,-0.0005251458797798,0.0009991283038124,0.970556108470872,18,70,0.8274726233121614,-0.010888416755557,0.8165842065566045,3,Band Power Distribution (8)
