feature,perm_macroF1_drop_mean,perm_macroF1_drop_std,rank_perm_macroF1_drop
stft_centroid_std_Hz,0.04822977403955,0.0042509787497787,1
spec_kurtosis_mean,0.0107942722774491,0.0012723032040493,2
bandpower_6,0.0037870751043312,0.0018292523415335,3
strong_bins_mean,0.0031793294029466,0.0029243259442408,4
bandpower_5,0.0025220043038854,0.0009609937639967,5
bandpower_4,0.00249830022771,0.0012319317720142,6
psd_power,0.0017797676740499,0.0012584483766939,7
spec_peak_power,0.0016483160762344,0.0020467444386991,8
bandpower_2,0.0014331683895753,0.0008079946737939,9
instf_slope_Hzps,0.0014290305284943,0.000687981016034,10
dme_ipi_std_s,0.0010933267119983,0.0002994535031713,11
spec_flatness,0.0009144056279784,0.0009139559116496,12
instf_mean_Hz,0.000854146346792,0.0009632493828246,13
spec_entropy,0.0008274316584228,0.0007204322669682,14
stft_centroid_zcr_per_s,0.0007302189212725,0.000793951455185,15
corrIQ,0.0006846857610883,0.0008926283038035,16
circularity_phase_rad,0.0005846377249069,0.0008046550026443,17
nb_peak_salience,0.0005798271909129,0.0012425209035482,18
spec_spread_Hz,0.0005595548806888,0.0005351629863975,19
stdQ,0.0004425935369325,0.0005167248385885,20
spec_peakiness_ratio,0.0004217078799219,0.0006398738199921,21
bandpower_3,0.0003994989875334,0.0008919059087038,22
cumulant_c42_mag,0.000386577105069,0.0006194755351687,23
spec_centroid_Hz,0.0003716284852235,0.0005588082399852,24
mag_std,0.000367021253295,0.0007649595004667,25
ZCR_Q,0.0003526212301801,0.0004734350664358,26
instf_kurtosis,0.0003485239839105,0.0005606115585517,27
meanI,0.0003143431257027,0.0006289711983474,28
stdI,0.0002995925430893,0.0010883810764363,29
env_p95_over_p50,0.0002710247711708,0.0009379790051661,30
